Table S17. Top 200 genes with burden of deleterious URVs in all epilepsy cases (AC=1),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gene,Ncase_carrier,Ncase_ptv,Ncase_mis,Ncase_infrindel,Ncase_noncarrier,Ncontrol_carrier,Ncontrol_ptv,Ncontrol_mis,Ncase_infrindel,Ncontrol_noncarrier,OR,Pval_obs,pli,misZ,ee_dom50,epi_id_top33,epi_dom43,brain,gabaaRec_19,gabaaergic_113,excitatoryRec_34,volIonChl_86
CDAN1,1,1,0,0,9169,8,4,3,1,8428,0.114898026,0.017151712,0.931373549,0.194530293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WDR35,1,0,0,1,9169,8,8,0,0,8428,0.114898026,0.017151712,9.45E-16,-0.441742495,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DNAH8,8,8,0,0,9162,19,18,0,1,8417,0.386815106,0.020946537,5.53E-28,-0.763570398,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AGO1,15,2,13,0,9155,4,0,4,0,8432,3.453850355,0.021086154,0.999997773,6.495617736,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SCN2A,21,3,18,0,9149,7,1,6,0,8429,2.763908624,0.021409367,0.999999931,6.88191849,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
WDR59,9,6,3,0,9161,1,1,0,0,8435,8.286759087,0.022521818,1.93E-10,1.247759518,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GLDC,9,8,0,1,9161,1,0,0,1,8435,8.286759087,0.022521818,1.65E-12,-1.570120869,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UNC79,9,1,8,0,9161,1,0,1,0,8435,8.286759087,0.022521818,1,4.148450498,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CADM4,9,0,9,0,9161,1,0,1,0,8435,8.286759087,0.022521818,0.971501297,3.866810542,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HGS,9,2,7,0,9161,1,0,1,0,8435,8.286759087,0.022521818,0.046361572,1.76013835,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLC9A1,9,1,8,0,9161,1,0,1,0,8435,8.286759087,0.022521818,0.980002559,4.371924422,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DLG4,9,2,7,0,9161,1,0,1,0,8435,8.286759087,0.022521818,0.98851238,5.811434603,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FXR1,9,0,9,0,9161,1,0,1,0,8435,8.286759087,0.022521818,0.999975265,3.531993538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLC6A1,13,2,11,0,9157,3,0,3,0,8433,3.990717484,0.022959433,0.998592226,4.494931039,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
KCNB1,11,3,8,0,9159,2,0,2,0,8434,5.064635877,0.023874855,0.972579843,5.349017711,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
