"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATN1",0.0827087987397546,12.3247630371966,7.68735099060022,2.26579459706064e-14,3.13974394164118e-14,18.5829852194356
"DIP2A",-0.0633040637223263,12.0905213191072,-7.42297244591218,1.63919084461607e-13,2.26068500371221e-13,16.6175756210293
"EGFR",0.14829389186779,11.8613186594912,7.26333482530752,5.25045950557784e-13,7.20699866095826e-13,15.5808064734889
"ADNP",-0.0626784749548568,12.134530204025,-7.13835902335719,1.28513698032286e-12,1.75575052241292e-12,14.595827440457
"ASGR2",-0.282435943117446,10.689818019992,-6.8600707688173,8.96012608518718e-12,1.20712809758772e-11,13.9865450232296
"PHF2",-0.0609743033494439,12.112695118333,-6.97067646053411,4.17644589875125e-12,5.67918577820848e-12,13.4380741075861
"F13B",-0.168735833006365,7.7338772384981,-6.73403040375689,2.10930548519562e-11,2.82860781655265e-11,13.4285617667768
"DNAH17",0.0918073568593849,11.6425724999709,6.9108691149283,6.31925939799938e-12,8.55304411543172e-12,13.3871102681098
"AGO1",-0.0557022047654173,12.0698996673454,-6.60165243501233,5.10309796924482e-11,6.8119335277534e-11,10.9841093425894
"HECTD4",0.0634760859351538,12.2018568963231,6.57849301985742,5.94622230728104e-11,7.9011447096748e-11,10.8418187834494
"CDAN1",-0.044014373887159,11.8834074347329,-6.41278202558257,1.75040248538644e-10,2.31530510567025e-10,9.8178235618088
"AP2S1",-0.0588462075896464,12.0758145759827,-6.35690462786752,2.50477655596334e-10,3.29814469586123e-10,9.42798558948632
"FDXR",0.0568967947240847,11.7215383265454,6.22221723642329,5.87158913445229e-10,7.69654251407935e-10,8.82240893160568
"ATR",-0.0432652429800359,11.912825456802,-6.14440452270625,9.53208058863742e-10,1.24387239968318e-09,8.14629275800284
"SEPN1",-0.0563569525463692,12.166657637901,-5.99894939272534,2.32284203784203e-09,3.01762068308942e-09,7.25808842963383
"ATP6V1C2",0.0674229596141744,11.392645606768,5.70944049900671,1.29003510337521e-08,1.65374544089069e-08,6.30059962852201
"ZNF668",-0.0388078309356188,11.7493246543469,-5.80523637546106,7.37847102019243e-09,9.54282251944887e-09,6.30023684016082
"TRIM3",0.0504694105528142,12.0046388290072,5.70986011914735,1.28690584283175e-08,1.65374544089069e-08,5.59270469161844
"DNMT3A",-0.0475013885558268,12.0430796483612,-5.65577316144233,1.75757459900936e-08,2.24322021189352e-08,5.28416990214468
