HPO,p_val,module
HP:0000295,0.5029,1
HP:0000297,0.6155,1
HP:0000298,0.1291,1
HP:0000300,0.1751,1
HP:0000301,0.0076,1
HP:0000303,0.0,1
HP:0000306,0.0,1
HP:0000307,0.0002,1
HP:0000308,0.1399,1
HP:0000309,0.0,1
HP:0000311,0.0,1
HP:0000315,0.0,1
HP:0000316,0.0,1
HP:0000317,0.0006,1
HP:0000319,0.0544,1
HP:0000320,0.0,1
HP:0000321,0.1321,1
HP:0000322,0.2326,1
HP:0000324,0.0,1
HP:0000325,0.0,1
HP:0000326,0.0,1
HP:0000327,0.0,1
HP:0000329,0.4453,1
HP:0000331,0.0047,1
HP:0000336,0.0,1
HP:0000337,0.0,1
HP:0000338,0.773,1
HP:0000339,0.0,1
HP:0000340,0.7874,1
HP:0000341,0.0416,1
HP:0000343,0.0,1
HP:0000346,0.0,1
HP:0000347,0.0,1
HP:0000348,0.0,1
HP:0000349,0.0163,1
HP:0000350,0.792,1
HP:0000356,0.0,1
HP:0000357,0.0,1
HP:0000358,0.0,1
HP:0000359,0.0,1
HP:0000360,0.0449,1
HP:0000362,0.0,1
HP:0000363,0.0002,1
HP:0000364,0.0,1
HP:0000365,0.0,1
HP:0000366,0.0,1
HP:0000368,0.0,1
HP:0000369,0.0,1
HP:0000370,0.0,1
HP:0000372,0.0001,1
HP:0000375,0.9995,1
HP:0000376,0.999,1
HP:0000377,0.0,1
HP:0000378,0.1499,1
HP:0000381,0.0,1
HP:0000383,0.0055,1
HP:0000384,0.0251,1
HP:0000385,0.2216,1
HP:0000387,0.0395,1
HP:0000388,0.0,1
HP:0000389,0.0,1
HP:0000391,0.0,1
HP:0000394,0.1198,1
HP:0000395,0.3429,1
HP:0000396,0.0805,1
HP:0000399,0.1135,1
HP:0000400,0.0,1
HP:0000402,0.0,1
HP:0000403,0.0,1
HP:0000405,0.0,1
HP:0000407,0.0,1
HP:0000408,0.0303,1
HP:0000410,0.1193,1
HP:0000411,0.0,1
HP:0000413,0.0006,1
HP:0000414,0.0048,1
HP:0000415,0.0003,1
HP:0000417,1.0,1
HP:0000418,0.0005,1
HP:0000419,0.0,1
HP:0000420,0.7878,1
HP:0000421,0.0,1
HP:0000422,0.0,1
HP:0000426,0.0483,1
HP:0000429,0.0,1
HP:0000430,0.0233,1
HP:0000431,0.0,1
HP:0000433,0.0002,1
HP:0000434,0.0165,1
HP:0000436,0.0007,1
HP:0000437,0.017,1
HP:0000444,0.0001,1
HP:0000445,0.0241,1
HP:0000446,0.1256,1
HP:0000447,0.9941,1
HP:0000448,0.4324,1
HP:0000451,0.2435,1
HP:0000452,0.0012,1
HP:0000453,0.0003,1
HP:0000454,0.1408,1
HP:0000455,0.082,1
HP:0000456,0.246,1
HP:0000457,0.0136,1
HP:0000458,0.2287,1
HP:0000460,0.0,1
HP:0000463,0.0,1
HP:0000464,0.0,1
HP:0000465,0.0,1
HP:0000466,0.0,1
HP:0000467,0.0001,1
HP:0000468,0.0,1
HP:0000470,0.0,1
HP:0000471,0.0,1
HP:0000472,0.1281,1
HP:0000473,0.0007,1
HP:0000474,0.0,1
HP:0000475,0.1245,1
HP:0000476,0.0,1
HP:0000478,0.0,1
HP:0000479,0.0006,1
HP:0000480,0.1546,1
HP:0000481,0.0,1
HP:0000482,0.0702,1
HP:0000483,0.1529,1
HP:0000484,0.3317,1
HP:0000485,0.0,1
HP:0000486,0.0,1
HP:0000488,0.0009,1
HP:0000490,0.0217,1
HP:0000491,0.0,1
HP:0000492,0.0,1
HP:0000493,0.0339,1
HP:0000494,0.0,1
HP:0000495,0.0,1
HP:0000496,0.0,1
HP:0000498,0.4364,1
HP:0000499,0.0144,1
HP:0000501,0.0,1
HP:0000502,0.0,1
HP:0000503,0.5484,1
HP:0000504,0.0,1
HP:0000505,0.0006,1
HP:0000506,0.0,1
HP:0000508,0.0,1
HP:0000509,0.0,1
HP:0000510,0.0524,1
HP:0000511,0.4718,1
HP:0000512,0.0091,1
HP:0000514,0.339,1
HP:0000517,0.0002,1
HP:0000518,0.0005,1
HP:0000519,0.1104,1
HP:0000520,0.0,1
HP:0000522,0.0438,1
HP:0000523,0.0007,1
HP:0000524,0.0179,1
HP:0000525,0.0002,1
HP:0000526,0.0259,1
HP:0000527,0.2432,1
HP:0000528,0.1291,1
HP:0000529,0.0871,1
HP:0000531,0.9805,1
