,0,1,2,3,4,5,6,7,8,9,10,11,12,13
HP:0000002,18.580481195065335,7.034814789790265,5.912923968811626,21.349717207081138,14.726892689698595,3.801349500879602,3.2499785449361904,3.2416139120758443,-0.0,2.879430485963546,-0.0,4.062195008666992,0.9351687537590387,0.026354009221783856
HP:0000003,0.8249311861652263,2.64409649133077,-0.0,0.7976163729188506,8.548410574624434,-0.0,0.25788706283667273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000006,49.58703918128609,0.19745529356718317,38.54908813650719,30.819861348002938,5.327205597007856,1.6780350179782937,0.03591838062490464,5.00021124632833,8.493579223290515,0.2571201932227991,-0.0,7.930218239902902,0.12056214327212252,1.379392214238126
HP:0000007,9.875480029685573,86.40741495928489,3.6946833384797126,0.5935591771647436,8.483778673668155,-0.0,31.00870634821224,10.277519857156015,0.1910171227895328,2.015759611686015,-0.0,0.6142504941952035,6.178479654039194,-0.0
HP:0000008,7.858400239384675,0.586747964978912,-0.0,1.6117279684201269,6.536387226562452,-0.0,-0.0,-0.0,1.2879552034045572,0.0037636781871130645,-0.0,-0.0,-0.0,-0.0
HP:0000009,6.968997255935971,4.05000642579934,5.260861049893969,8.26894644958818,11.912914026282133,11.957768762333039,2.040929535287497,6.006432631806794,0.6348045122960386,0.8430235192999063,-0.0,0.6756615465343556,0.13921094097064662,-0.0
HP:0000010,1.7295231198244674,-0.0,-0.0,1.3781504393714874,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000011,-0.0,2.6500421678694748,-0.0,0.315270831470131,0.18546178195954394,-0.0,1.1747112059479492,1.149778300127333,-0.0,0.20763246424274867,-0.0,-0.0,-0.0,-0.0
HP:0000012,0.18982729281122418,1.2435529797734735,1.5416756929320887,0.2178735964994659,1.818262217333188,-0.0,-0.0,1.9768144350666386,-0.0,0.12335574927470928,-0.0,-0.0,-0.0,-0.0
HP:0000013,0.13834980274728959,1.9148523174248888,-0.0,-0.0,0.04556604950778563,-0.0,0.05888697926540989,-0.0,2.4342987314395668,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000014,10.26096038005311,4.776953943586254,4.802468631811684,8.517699673744493,12.193647574467974,11.282407422325122,1.828208328676946,5.594046318148453,0.5371708686650254,0.7414840114968613,-0.0,0.5820033706387396,0.08673759434278014,-0.0
HP:0000015,1.0248621511931142,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000016,0.36961451838002524,0.15220345583119715,0.19802004311689644,0.39541633458982256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000017,-0.0,3.0703358004682526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000019,2.282723592222997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000020,1.6410268064415678,2.4854135295815563,7.264363412393288,1.5511994468154404,1.6171160383736292,17.949980312490535,0.08301906034514386,1.9474598478139276,0.5802321211640576,-0.0,-0.0,0.32851144271950966,0.8392893814161568,-0.0
HP:0000021,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5955149292550339,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000022,3.9327570400780982,-0.0,-0.0,1.396403664265889,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000023,11.84928077263329,0.0747708485884692,0.3054673595975353,9.544736997350174,1.5206875955342645,0.08962024488189199,1.8569703522893113,1.2943382815281965,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000024,0.7257364843635655,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
