module,gene
1,APOE
1,SLC2A1
1,PTPN11
1,GFAP
1,RAPGEF6
1,SERPINI1
1,DPYSL3
1,EPHA5
1,ASAP2
1,ZEB2
1,MYH14
1,CADPS2
1,EXOC3
1,CDH13
1,AKT3
1,BCAS1
1,RALA
1,CTNND2
1,PON1
1,FGD1
1,LAMB1
1,CLCN6
1,COL4A2
1,DSCAM
1,LRP1
1,WWOX
1,COL2A1
1,GPC6
1,KRAS
1,CDK5
1,SPP2
1,NRAS
1,MEMO1
1,PRRT2
1,MSR1
1,PHB
1,RTN4R
1,SRGAP2
1,PNPLA7
1,DYRK1A
1,SDC2
1,DOCK6
1,MAPK3
1,PRKD2
1,ELAVL3
1,BMP4
1,MRAP
1,SLC7A5
1,WASF1
1,EXT1
1,FGFR3
1,NCKAP1
1,MYH6
1,LPHN2
1,RPS6KA2
1,TNK2
1,COL18A1
1,EXT2
1,NRG3
1,MAPT
1,RASSF5
1,HSPG2
1,FHIT
1,DMD
1,PRKCA
1,HS3ST5
1,LAMC3
1,EPHB2
1,BMP5
1,NTRK2
1,HS2ST1
1,SRGAP3
1,RAPSN
1,COL6A2
1,APH1A
1,PRNP
1,FGA
1,MYO5A
1,TBX1
1,SERPINE1
1,RALGAPB
1,COL3A1
1,NTRK1
1,TTN
1,DIAPH1
1,CSF1R
1,NRG2
1,L1CAM
1,STRADA
1,COL28A1
1,ELMO1
1,EXOC6B
1,MYH4
1,TRPM6
1,PLP1
1,BRAF
1,ARHGAP5
1,GJD2
1,DOCK7
1,RIT2
1,BRSK2
1,CHRDL1
1,DPYSL2
1,PTPRC
1,EXOC5
1,CDH8
1,PRKCB
1,LAMA2
1,VSIG4
1,FLG
1,PLXNB2
1,EGF
1,SIK1
1,NID1
1,SEZ6L2
1,PAK3
1,ERBIN
1,PAK1
1,PTEN
1,OPHN1
1,CP
1,SND1
1,INSR
1,FBN1
1,TSC1
1,DPYS
1,MET
1,ARHGDIA
1,PSEN2
1,PLXNA3
1,PAK2
1,NTRK3
1,AKT2
1,STK11
1,GTF2I
1,TSC2
1,PLXNA4
1,MYH10
1,FGFR2
1,FLNA
1,P4HA2
1,PIK3CG
1,HCK
1,NEB
1,SEMA5A
1,NRP2
1,ACVR1
1,MTOR
1,GFRA1
1,ENG
1,AUTS2
1,MYO9B
1,LOR
1,HRAS
1,PRKD1
1,PLXNB1
1,RHEB
1,MAGI2
1,SPARCL1
1,RAB11FIP5
1,BDNF
1,ITGB3
1,ERBB4
1,CNKSR2
1,COL6A3
1,DNER
1,ARHGEF15
1,PLA2G6
1,EXOC6
1,CARD11
1,GPC4
1,HYDIN
1,RBFOX3
1,RPS6KA3
1,CDH10
1,CDH9
1,PMP22
1,LZTR1
1,IL6
1,SLC1A4
1,CTNNB1
1,LAMA1
1,PTGS2
1,ROBO2
1,PSEN1
1,PTCH1
1,ARHGAP32
1,DOCK1
1,CMIP
1,RAC1
1,CDH11
1,CHN1
1,BCL10
1,CRYAB
1,SEMA5B
1,MYO1E
1,PLEKHG2
1,COL4A1
1,DOCK8
1,ACE
1,MAPK10
1,ERLIN2
1,GIPC1
1,CD38
1,FARP2
2,SOX2
2,ZMYND11
2,TRRAP
2,MBD5
2,FOXG1
2,LNPK
2,HDAC4
2,RORA
2,DLL1
2,THBS1
2,TAF1
2,TBP
2,KANSL1
2,AGO1
2,PBX1
2,NR4A2
2,PER1
2,SMARCA2
2,SETD2
2,EEF1A2
2,CDK13
2,KDM1B
2,QRICH1
2,KDM6A
2,SKI
2,BRD4
2,EP400
2,CENPW
2,CCNK
2,CHD3
2,SPEN
2,PRKDC
2,MEIS2
2,TDP2
2,SETD5
2,CHD2
2,NPAS2
2,USP7
2,MLLT3
2,PNKP
2,SSRP1
2,MEF2C
2,CHD1
2,PER2
2,MED13
2,YAP1
2,WAC
2,SMARCE1
2,LMX1B
2,MAF
2,RORB
2,TET2
2,SIN3A
2,ARID1A
2,ADNP
2,ASXL1
2,VDR
2,AGO3
2,DNMT1
2,MBD1
2,CHD7
2,OTX2
2,GATA6
2,PAX5
2,INO80
2,CHD8
2,NACC1
2,ACTL6B
2,CDK8
2,MYOCD
2,CAMK4
2,CREBBP
2,KAT6A
2,KDM3B
2,HMGCS2
2,NR1D1
2,HOXD9
2,TDP1
2,PHF21A
2,MBD3
2,CTNNA3
2,TAF1C
2,BTAF1
2,HIVEP2
2,DLX3
2,MED13L
2,WNT1
2,TCF20
2,H2BC11
2,JMJD1C
2,HOXD3
2,YEATS2
2,PHF8
2,THRA
2,RB1
2,ATN1
2,MED12
2,LEO1
2,XPC
2,TNRC6B
2,ACTG1
2,POGZ
2,BRCA2
2,MED12L
2,HOXD1
2,CTNNA2
2,DEAF1
2,MBD6
2,ACTB
2,ERCC6
2,CPZ
2,TCF7L2
2,EN2
2,SMARCC2
2,SETBP1
2,EMSY
2,ARID1B
2,MED25
2,CHD4
2,KDM4B
2,KDM5C
2,EPC2
2,HCFC1
2,EP300
2,SRCAP
2,PDX1
2,NOTCH2NL
2,NCOR1
2,CPT2
2,SMARCA4
2,DNMT3A
2,NONO
2,TBL1X
2,SLC25A20
2,CTCF
2,HOXA1
2,SETDB1
2,SON
2,SVIL
2,HOXD4
2,TELO2
2,RBPJ
2,KDM5B
2,BRD2
2,EHMT1
2,MBD4
2,WHSC1
2,LZTS2
2,AGO4
2,KATNAL1
2,TAF6
2,TBL1XR1
2,NGLY1
2,THRB
2,SNIP1
2,GATAD2B
2,HOXD8
2,ESRRB
2,CHAMP1
2,ACTN4
2,SMARCB1
2,KMT5B
2,KMT2E
2,SETD1B
2,FGF8
2,PHF3
2,KATNAL2
2,KMT2A
2,MNT
2,JARID2
2,KMT2C
2,NF1
2,FLT4
2,MECP2
2,YY1
2,PGK1
2,HDAC8
2,ASH1L
2,AR
2,LEP
2,CHD1L
2,PAX6
2,SMAD4
2,TTI2
2,FTO
2,MIB1
2,HMGN1
2,KDM4C
2,KAT2B
2,NOTCH1
2,CUL4B
2,UIMC1
2,KDM6B
2,ARID2
2,UBR5
2,KATNB1
2,MED17
2,TCF4
3,MCM8
3,SYNE1
3,SMC3
3,PSMD12
3,PAFAH1B2
3,PAFAH1B1
3,TUBB4A
3,CC2D2A
3,CIB2
3,BBS4
3,SET
3,TERF2
3,PPP1R1B
3,TBC1D31
3,CSNK1E
3,TBCD
3,PCM1
3,TUBA3E
3,PRICKLE1
3,PPP1R15B
3,POLA2
3,RANGAP1
3,TTC25
3,KCTD3
3,KIF3C
3,CEP135
3,MCM9
3,SMC1A
3,NINL
3,WDR62
3,TUBGCP5
3,MAPRE2
3,CENPE
3,CLASP1
3,CSPP1
3,CCT4
3,GPR98
3,DKC1
3,XPO1
3,CENPJ
3,KIF1A
3,MKS1
3,BIRC6
3,LMNB2
3,POT1
3,AKAP9
3,NIPBL
3,KIF2A
3,KIF13B
3,TUBA8
3,WDR19
3,INTS1
3,DNAH3
3,ZMYND8
3,TAOK1
3,TAOK2
3,PPP2R1A
3,SAE1
3,OFD1
3,YWHAE
3,NIN
3,DVL3
3,CELSR3
3,MCM4
3,CCDC88A
3,RAD21L1
3,CTTNBP2
3,CEP164
3,CCDC88C
3,AAAS
3,NUP133
3,DIXDC1
3,ATRX
3,KIF11
3,DYNC1H1
3,GLI2
3,AMER1
3,MRI1
3,MCM6
3,TUBB2B
3,DNAH17
3,TUBA1A
