,0,1,2,3,4,5,6,7,8,9,10,11,12
HP:0000002,4.279694672134448,2.939245660038624,-0.0,1.505031537267793,-0.0,-0.0,3.1021118668184506,2.6520367354224677,-0.0,0.829922511576407,-0.0,0.08868540082002636,-0.0
HP:0000003,-0.0,-0.0,-0.0,0.32642044873845283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000006,7.305367842330663,20.362956120580424,0.20752011013944519,6.498555603063572,-0.0,-0.0,1.9698621604216686,0.4005244264370405,-0.0,1.16023735854732,-0.0,-0.0,-0.0
HP:0000007,-0.0,-0.0,0.1006981413283552,0.15045187411803576,-0.0,-0.0,-0.0,1.6417898052916304,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000008,4.086545557977549,-0.0,-0.0,1.0480621338929366,-0.0,-0.0,-0.0,0.642303861814025,-0.0,0.09233260594775632,-0.0,-0.0,-0.0
HP:0000009,0.6099811186456016,1.618390546282491,-0.0,1.1678231996812112,0.08714532099258786,-0.0,0.7466581875200082,1.5303192212554353,-0.0,0.12856249304703554,-0.0,-0.0,-0.0
HP:0000010,0.503308366863742,-0.0,0.20516742936638652,-0.0,-0.0,-0.0,2.499139459787571,0.34794743426395436,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000012,-0.0,0.5146764384625041,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000014,0.5559745517022006,1.4981207471786335,-0.0,1.0851748431578996,0.054013423122954915,-0.0,0.6966444918666317,1.4651384485207506,-0.0,0.1031515760401861,-0.0,-0.0,-0.0
HP:0000020,0.4000140980791488,3.0204606362083206,-0.0,-0.0,-0.0,-0.0,0.3050481545812826,-0.0,-0.0,0.3661039349180531,-0.0,-0.0,-0.0
HP:0000022,1.72151451552492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5211459200768654,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000023,1.5789579540885021,-0.0,-0.0,3.6751394150712695,-0.0,-0.0,1.9411142365290075,-0.0,-0.0,-0.0,-0.0,0.059690816853642685,-0.0
HP:0000025,0.2942568053385457,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0120543826837134,-0.0,-0.0,-0.0,0.07611975812799632,-0.0
HP:0000027,0.49738125681969175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3446689609480074,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000028,5.337852044199143,0.37805169155235957,-0.0,6.409476535023089,-0.0,-0.0,1.831589209437851,0.4367444518846222,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000030,1.1740861227533623,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000032,4.9004935818689574,0.907161406952837,-0.0,6.003607601256823,-0.0,-0.0,1.4025366299297257,0.7814433986579669,-0.0,0.40017204228290654,-0.0,-0.0,-0.0
HP:0000034,2.3469484977711152,-0.0,-0.0,2.3866508252608503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000035,5.403324006794701,0.18773404519475784,-0.0,5.651642566971943,-0.0,-0.0,1.5604423055222385,0.8926258605918318,-0.0,0.4787762366729432,-0.0,-0.0,-0.0
HP:0000036,3.2324491739557333,0.421430897246178,-0.0,3.701644032554091,-0.0,-0.0,0.45361750664368355,0.47108310112514823,-0.0,0.6282091071310175,-0.0,-0.0,-0.0
HP:0000037,0.8177472336798309,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000040,1.226410917584797,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000041,1.1530346419908897,-0.0,-0.0,-0.0,-0.0,-0.0,1.0501400683607947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000044,1.1332574836728557,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3687740226980216,-0.0,-0.0,-0.0
HP:0000045,3.1421000785282165,0.09413196266190244,-0.0,0.2629199566102819,-0.0,-0.0,0.33795507200156816,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000046,0.7112251909255206,0.36326794780083344,-0.0,-0.0,0.08714532099258786,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000047,2.0788377335560657,-0.0,-0.0,4.268926937296062,-0.0,-0.0,0.0931260089407889,0.8260792004457334,-0.0,0.9390719873540251,-0.0,0.0039022502805632834,-0.0
HP:0000049,1.0615397218353955,-0.0,-0.0,-0.0,-0.0,-0.0,0.95757890698383,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000050,1.5206106762784606,0.12023969204276644,-0.0,2.4292671446971266,-0.0,-0.0,0.5939740539591573,-0.0,-0.0,0.725028942467463,-0.0,-0.0,-0.0
HP:0000053,2.5202430411564856,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000054,1.5671609755661458,0.539429101037086,-0.0,0.7840005233192093,-0.0,-0.0,0.16685832975789058,-0.0,-0.0,0.2661861624088763,-0.0,-0.0,-0.0
HP:0000055,1.167015816390067,-0.0,-0.0,1.1106752514873028,-0.0,-0.0,-0.0,0.29645520175793727,-0.0,0.38335829588386644,-0.0,0.1301441027051916,-0.0
HP:0000056,1.423601684034257,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.39530910506891664,-0.0,0.4907426795836294,-0.0,0.15822804255473072,-0.0
HP:0000058,0.5944159978947559,-0.0,-0.0,0.4148357093445728,0.014197345316965182,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000059,-0.0,-0.0,-0.0,0.7127856040034987,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000060,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.30299179109690644,-0.0
HP:0000062,0.505962174412581,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.14527861326351832,-0.0
HP:0000066,-0.0,-0.0,-0.0,0.5492068275836062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000069,0.19201713118677452,0.4284277632914574,-0.0,1.4474156192810794,-0.0,-0.0,0.1098730527477547,1.6544388087159303,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000070,-0.0,2.145625869558053,0.031087065855444216,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000071,-0.0,-0.0,-0.0,2.2467444528250966,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000072,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.49185368190709927,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000073,-0.0,-0.0,-0.0,2.033064257424827,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000074,-0.0,-0.0,-0.0,2.536340617913338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000075,-0.0,-0.0,0.051376448611820835,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000076,0.4108292904698592,-0.0,-0.0,2.1051211640703844,-0.0,-0.0,0.314213410026845,1.2105099115824671,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000077,5.093591679497809,-0.0,0.20752011013944519,1.6801258516573783,-0.0,-0.0,0.6190518804801503,0.6823180818117422,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000078,6.5317288469512595,0.8291165706678186,-0.0,5.532638653985585,-0.0,-0.0,1.006018911618447,0.5237521513081015,-0.0,0.7302214370687306,-0.0,0.059690816853642685,-0.0
HP:0000079,4.673497927268747,1.5313357225519257,0.07027084126844013,2.1413602402620486,-0.0,-0.0,1.4162339060680798,1.5733349802348804,-0.0,0.6536256968130946,-0.0,-0.0,-0.0
HP:0000080,1.6450379795980064,-0.0,-0.0,1.1794968927194818,-0.0,-0.0,-0.0,0.40303097450633113,-0.0,0.5694672557970574,-0.0,-0.0,-0.0
HP:0000081,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9928822652116952,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000083,0.6816984351982565,-0.0,0.1943293878338758,1.2889532502882237,-0.0,-0.0,-0.0,0.07322930370992224,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000086,1.6450379795980064,-0.0,-0.0,-0.0,-0.0,-0.0,0.5562232031571093,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000089,1.3919553142201724,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15705943951769677,-0.0
HP:0000093,0.33808737351455276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000095,0.3724988979981016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000096,0.6118081152312053,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000098,2.811096464026741,0.01647363380303357,-0.0,1.9497010549200755,-0.0,-0.0,1.2074914276427942,-0.0,-0.0,0.3354558606776804,-0.0,-0.0,-0.0
HP:0000100,0.47637136593354706,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000104,0.3665545016626776,-0.0,-0.0,0.9964224218826729,-0.0,-0.0,0.27166125727701157,1.12952463023934,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000107,1.5671609755661458,-0.0,-0.0,1.6228218431053953,-0.0,-0.0,1.0304297645890663,0.16248087825473734,-0.0,-0.0,-0.0,0.05733280073576953,-0.0
HP:0000110,-0.0,1.351953205774001,-0.0,-0.0,-0.0,-0.0,0.5375382498024173,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000112,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000113,0.7971467925120469,-0.0,-0.0,-0.0,-0.0,-0.0,0.6832005207460784,-0.0,-0.0,-0.0,-0.0,0.2785252561489182,-0.0
HP:0000117,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1383238555814694,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000119,4.751459656768712,1.8211260256699797,0.051376448611820835,3.885330601893691,-0.0,-0.0,1.5798829821004943,1.7681109260818548,-0.0,0.44631051433978947,-0.0,-0.0,-0.0
HP:0000121,-0.0,0.2985252671126091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0032205082614494285
HP:0000122,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6151800400349527,1.6544388087159303,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000123,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5813461646667133,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.95757890698383,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HP:0000126,3.6530033565586466,-0.0,0.051376448611820835,1.8220366419523664,-0.0,-0.0,1.1359391438958855,0.21482800838622362,-0.0,0.30644110915326833,-0.0,0.08101377401171397,-0.0
HP:0000130,2.5237078220299556,-0.0,-0.0,0.8496841220461111,-0.0,-0.0,-0.0,0.19231026702305457,-0.0,-0.0,-0.0,0.07256449621126367,-0.0
