HPO,p_val,module
HP:0000002,0.0,1
HP:0000003,0.0061,1
HP:0000008,0.0,1
HP:0000009,0.0749,1
HP:0000010,0.2281,1
HP:0000011,0.0,1
HP:0000012,0.2808,1
HP:0000013,0.0,1
HP:0000014,0.0602,1
HP:0000015,0.0075,1
HP:0000016,0.004,1
HP:0000017,0.017,1
HP:0000019,0.127,1
HP:0000020,0.134,1
HP:0000021,0.0059,1
HP:0000022,0.0002,1
HP:0000023,0.0009,1
HP:0000024,0.0015,1
HP:0000025,0.1105,1
HP:0000026,0.0001,1
HP:0000027,0.004,1
HP:0000028,0.0,1
HP:0000029,0.0,1
HP:0000031,0.1356,1
HP:0000032,0.0,1
HP:0000033,0.0025,1
HP:0000034,0.1015,1
HP:0000035,0.0,1
HP:0000036,0.0,1
HP:0000037,0.0,1
HP:0000039,0.1042,1
HP:0000040,0.0452,1
HP:0000041,0.0004,1
HP:0000042,0.0004,1
HP:0000044,0.0,1
HP:0000045,0.0,1
HP:0000046,0.0002,1
HP:0000047,0.0001,1
HP:0000048,0.0,1
HP:0000049,0.0185,1
HP:0000050,0.0,1
HP:0000051,0.0,1
HP:0000053,0.0022,1
HP:0000054,0.0065,1
HP:0000055,0.0,1
HP:0000056,0.0044,1
HP:0000058,0.0017,1
HP:0000059,0.111,1
HP:0000060,0.1003,1
HP:0000061,0.0023,1
HP:0000062,0.0036,1
HP:0000063,0.0093,1
HP:0000064,0.0257,1
HP:0000065,0.0001,1
HP:0000066,0.0344,1
HP:0000068,0.0029,1
HP:0000069,0.0837,1
HP:0000070,0.2825,1
HP:0000071,0.0,1
HP:0000072,0.1833,1
HP:0000073,0.0002,1
HP:0000074,0.0,1
HP:0000075,0.1967,1
HP:0000076,0.1147,1
HP:0000077,0.0001,1
HP:0000078,0.0,1
HP:0000079,0.0,1
HP:0000080,0.0049,1
HP:0000081,0.1701,1
HP:0000083,0.0123,1
HP:0000085,0.102,1
HP:0000086,0.0012,1
HP:0000089,0.0,1
HP:0000090,0.1271,1
HP:0000091,0.0975,1
HP:0000092,0.157,1
HP:0000093,0.0442,1
HP:0000095,0.0,1
HP:0000096,0.0003,1
HP:0000097,0.005,1
HP:0000098,0.0279,1
HP:0000099,0.0007,1
HP:0000100,0.0033,1
HP:0000103,0.546,1
HP:0000104,0.0959,1
HP:0000105,0.0221,1
HP:0000107,0.0021,1
HP:0000108,0.1573,1
HP:0000110,0.0321,1
HP:0000111,0.9889,1
HP:0000112,0.0047,1
HP:0000113,0.0112,1
HP:0000114,0.012,1
HP:0000117,0.2375,1
HP:0000118,0.0,1
HP:0000119,0.0,1
HP:0000121,0.1017,1
HP:0000122,0.1518,1
HP:0000123,0.0356,1
HP:0000124,0.0015,1
HP:0000125,0.0002,1
HP:0000126,0.0007,1
HP:0000127,0.0105,1
HP:0000128,0.9725,1
HP:0000130,0.0,1
HP:0000131,0.1038,1
HP:0000132,0.1642,1
HP:0000133,0.0001,1
HP:0000134,0.1043,1
HP:0000135,0.0394,1
HP:0000136,0.0056,1
HP:0000137,0.0005,1
HP:0000138,0.0027,1
HP:0000139,0.005,1
HP:0000140,0.0001,1
HP:0000141,0.0,1
HP:0000142,0.0409,1
HP:0000143,0.137,1
HP:0000144,0.0002,1
HP:0000145,0.0113,1
HP:0000147,0.003,1
HP:0000148,0.1083,1
HP:0000149,0.0041,1
HP:0000150,0.0027,1
HP:0000151,0.0007,1
HP:0000152,0.0,1
HP:0000153,0.0,1
HP:0000154,0.0,1
HP:0000155,0.1105,1
HP:0000157,0.0013,1
HP:0000158,0.0,1
HP:0000159,0.0,1
HP:0000160,0.1396,1
HP:0000161,0.1076,1
HP:0000162,0.0991,1
HP:0000163,0.0,1
HP:0000164,0.0002,1
HP:0000166,0.1856,1
HP:0000168,0.0001,1
HP:0000169,0.0077,1
HP:0000171,0.0007,1
HP:0000172,0.1455,1
HP:0000174,0.0,1
HP:0000175,0.0,1
HP:0000176,0.0764,1
HP:0000177,0.0001,1
HP:0000178,0.0001,1
HP:0000179,0.0,1
HP:0000180,0.0396,1
HP:0000182,0.0693,1
HP:0000183,0.0767,1
HP:0000185,0.0,1
HP:0000187,0.0001,1
HP:0000188,0.0005,1
HP:0000189,0.0064,1
HP:0000190,0.3566,1
HP:0000191,0.0388,1
HP:0000193,0.1026,1
HP:0000194,0.0102,1
HP:0000196,0.0001,1
HP:0000197,0.0004,1
HP:0000198,0.0052,1
HP:0000199,0.0404,1
HP:0000200,0.1944,1
HP:0000201,0.1,1
HP:0000202,0.0,1
HP:0000204,0.0004,1
HP:0000205,0.1058,1
HP:0000206,0.5245,1
HP:0000207,0.0393,1
HP:0000211,0.1048,1
HP:0000212,0.0001,1
HP:0000214,0.0015,1
HP:0000215,0.0007,1
HP:0000216,0.0006,1
HP:0000217,0.0042,1
HP:0000218,0.0,1
