HPO,p_val,module
HP:0000293,0.0013,1
HP:0000294,0.0261,1
HP:0000295,0.1038,1
HP:0000297,0.1457,1
HP:0000298,0.0035,1
HP:0000300,0.0001,1
HP:0000301,0.0557,1
HP:0000303,0.0386,1
HP:0000306,0.0052,1
HP:0000307,0.2417,1
HP:0000308,0.1328,1
HP:0000309,0.0,1
HP:0000311,0.1161,1
HP:0000315,0.0,1
HP:0000316,0.0,1
HP:0000317,0.0033,1
HP:0000319,0.0003,1
HP:0000320,0.0,1
HP:0000321,0.0726,1
HP:0000322,0.0049,1
HP:0000324,0.0013,1
HP:0000325,0.0666,1
HP:0000326,0.0,1
HP:0000327,0.0,1
HP:0000329,0.0046,1
HP:0000331,0.0681,1
HP:0000336,0.0004,1
HP:0000337,0.1439,1
HP:0000338,0.2311,1
HP:0000339,0.023,1
HP:0000340,0.0645,1
HP:0000341,0.0001,1
HP:0000343,0.0003,1
HP:0000346,0.053,1
HP:0000347,0.0,1
HP:0000348,0.0011,1
HP:0000349,0.0194,1
HP:0000350,0.0,1
HP:0000356,0.0,1
HP:0000357,0.0,1
HP:0000358,0.0,1
HP:0000359,0.0,1
HP:0000360,0.0084,1
HP:0000362,0.0229,1
HP:0000363,0.0674,1
HP:0000364,0.0,1
HP:0000365,0.0,1
HP:0000366,0.0,1
HP:0000368,0.0,1
HP:0000369,0.0,1
HP:0000370,0.0143,1
HP:0000372,0.0001,1
HP:0000375,0.764,1
HP:0000376,0.5114,1
HP:0000377,0.0001,1
HP:0000378,0.0038,1
HP:0000381,0.0839,1
HP:0000383,0.0002,1
HP:0000384,0.0014,1
HP:0000385,0.0001,1
HP:0000387,0.0723,1
HP:0000388,0.0723,1
HP:0000389,0.0488,1
HP:0000391,0.007,1
HP:0000394,0.0001,1
HP:0000395,0.0857,1
HP:0000396,0.0102,1
HP:0000399,0.0074,1
HP:0000400,0.0796,1
HP:0000402,0.0002,1
HP:0000403,0.0002,1
HP:0000405,0.0264,1
HP:0000407,0.0,1
HP:0000408,0.0024,1
HP:0000410,0.0,1
HP:0000411,0.0056,1
HP:0000413,0.0001,1
HP:0000414,0.0678,1
HP:0000415,0.0,1
HP:0000417,0.0581,1
HP:0000418,0.0001,1
HP:0000419,0.0002,1
HP:0000420,0.0,1
HP:0000421,0.0422,1
HP:0000422,0.0,1
HP:0000426,0.0001,1
HP:0000429,0.0001,1
HP:0000430,0.0192,1
HP:0000431,0.0,1
HP:0000433,0.0185,1
HP:0000434,0.0058,1
HP:0000436,0.0,1
HP:0000437,0.0628,1
HP:0000444,0.0363,1
HP:0000445,0.0081,1
HP:0000446,0.0,1
HP:0000447,0.0008,1
HP:0000448,0.0066,1
HP:0000451,0.0243,1
HP:0000452,0.0021,1
HP:0000453,0.0,1
HP:0000454,0.0678,1
HP:0000455,0.0,1
HP:0000456,0.0678,1
HP:0000457,0.0039,1
HP:0000458,0.0001,1
HP:0000460,0.0005,1
HP:0000463,0.0003,1
HP:0000464,0.0,1
HP:0000465,0.0,1
HP:0000466,0.0002,1
HP:0000467,0.0706,1
HP:0000468,0.0002,1
HP:0000470,0.0003,1
HP:0000471,0.0038,1
HP:0000472,0.0833,1
HP:0000473,0.1558,1
HP:0000474,0.0011,1
HP:0000475,0.002,1
HP:0000476,0.0002,1
HP:0000478,0.0,1
HP:0000479,0.0004,1
HP:0000480,0.0,1
HP:0000481,0.0004,1
HP:0000482,0.0705,1
HP:0000483,0.0014,1
HP:0000484,0.0842,1
HP:0000485,0.0689,1
HP:0000486,0.0,1
HP:0000488,0.0003,1
HP:0000490,0.0049,1
HP:0000491,0.0202,1
HP:0000492,0.0,1
HP:0000493,0.0651,1
HP:0000494,0.0,1
HP:0000495,0.0009,1
HP:0000496,0.0,1
HP:0000498,0.0043,1
HP:0000499,0.0002,1
HP:0000501,0.0021,1
HP:0000502,0.1206,1
HP:0000503,0.1508,1
HP:0000504,0.0017,1
HP:0000505,0.0009,1
HP:0000506,0.0035,1
HP:0000508,0.0,1
HP:0000509,0.0068,1
HP:0000510,0.0056,1
HP:0000511,0.0047,1
HP:0000512,0.0219,1
HP:0000514,0.0899,1
HP:0000517,0.0001,1
HP:0000518,0.0001,1
HP:0000519,0.0,1
HP:0000520,0.0007,1
HP:0000522,0.0062,1
HP:0000523,0.0002,1
HP:0000524,0.1702,1
HP:0000525,0.0252,1
HP:0000526,0.0,1
HP:0000527,0.0063,1
HP:0000528,0.0,1
HP:0000529,0.0021,1
HP:0000531,0.5082,1
HP:0000532,0.0002,1
HP:0000533,0.0001,1
HP:0000534,0.0,1
HP:0000535,0.0123,1
HP:0000537,0.0071,1
HP:0000538,0.072,1
HP:0000539,0.0008,1
HP:0000540,0.0846,1
HP:0000541,0.075,1
HP:0000542,0.0613,1
HP:0000543,0.0002,1
HP:0000544,0.0009,1
HP:0000545,0.0005,1
HP:0000546,0.0162,1
HP:0000548,0.1265,1
HP:0000549,0.0,1
HP:0000550,0.001,1
HP:0000551,0.0023,1
HP:0000552,0.0001,1
HP:0000553,0.0074,1
HP:0000554,0.0134,1
HP:0000555,0.0001,1
HP:0000556,0.0621,1
HP:0000557,0.0719,1
HP:0000558,0.0046,1
HP:0000559,0.0327,1
HP:0000561,0.0,1
HP:0000563,0.003,1
HP:0000564,0.0,1
HP:0000565,0.162,1
HP:0000567,0.0038,1
HP:0000568,0.0115,1
HP:0000570,0.0488,1
HP:0000571,0.076,1
HP:0000572,0.0002,1
HP:0000573,0.0091,1
HP:0000574,0.0036,1
HP:0000575,0.0022,1
HP:0000576,0.0017,1
HP:0000577,0.1025,1
HP:0000579,0.0,1
HP:0000580,0.0003,1
HP:0000581,0.0002,1
HP:0000582,0.0661,1
HP:0000585,0.0132,1
HP:0000586,0.0344,1
HP:0000587,0.0006,1
HP:0000588,0.0044,1
